美国:道琼斯工业平均指数,美国:标准普尔500指数,美国:纳斯达克综合指数
21948.10,2471.65,6428.66
21987.56,2476.55,6435.33
21753.31,2457.85,6375.57
21807.64,2465.54,6393.31
21784.78,2465.10,6397.87
21797.79,2461.43,6360.19
22057.37,2488.11,6432.26
22118.86,2496.48,6454.28
22158.18,2498.37,6460.19
22203.48,2495.62,6429.08
22268.34,2500.23,6448.47
22331.35,2503.87,6454.64
22370.80,2506.65,6461.32
22412.59,2508.24,6456.04
22359.23,2500.60,6422.69
22349.59,2502.22,6426.92
22296.09,2496.66,6370.59
22284.32,2496.84,6380.16
22340.71,2507.04,6453.26
22381.20,2510.06,6453.45
22405.09,2519.36,6495.96
22557.60,2529.12,6516.72
22641.67,2534.58,6531.71
22661.64,2537.74,6534.63
22775.39,2552.07,6585.36
22773.67,2549.33,6590.18
22761.07,2544.73,6579.73
22830.68,2550.64,6587.25
22872.89,2555.24,6603.55
22841.01,2550.93,6591.51
22871.72,2553.17,6605.80
22956.96,2557.64,6624.01
22997.44,2559.36,6623.66
23157.60,2561.26,6624.22
23163.04,2562.10,6605.07
23328.63,2575.21,6629.05
23273.96,2564.98,6586.83
23441.76,2569.13,6598.43
23329.46,2557.15,6563.89
23400.86,2560.40,6556.77
23434.19,2581.07,6701.26
23348.74,2572.83,6698.96
23377.24,2575.26,6727.67
23435.01,2579.36,6716.53
23516.26,2579.85,6714.94
23539.19,2587.84,6764.44
23548.42,2591.13,6786.44
23557.23,2590.64,6767.78
23563.36,2594.38,6789.12
23461.94,2584.62,6750.05
23422.21,2582.30,6750.94
23439.70,2584.84,6757.60
23409.47,2578.87,6737.87
23271.28,2564.62,6706.21
23458.36,2585.64,6793.29
23358.24,2578.85,6782.79
23430.33,2582.14,6790.71
23590.83,2599.03,6862.48
23526.18,2597.08,6867.36
23557.99,2602.42,6889.16
23580.78,2601.42,6878.52
23836.71,2627.04,6912.36
23940.68,2626.07,6824.39
24272.35,2647.58,6873.97
24231.59,2642.22,6847.59
24290.05,2639.44,6775.37
24180.64,2629.57,6762.21
24140.91,2629.27,6776.38
24211.48,2636.98,6812.84
24329.16,2651.50,6840.08
24386.03,2659.99,6875.08
24504.80,2664.11,6862.32
24585.43,2662.85,6875.80
24508.66,2652.01,6856.53
24651.74,2675.81,6936.58
24792.20,2690.16,6994.76
24754.75,2681.47,6963.85
24726.65,2679.25,6960.96
24782.29,2684.57,6965.36
24754.06,2683.34,6959.96
24746.21,2680.50,6936.25
24774.30,2682.62,6939.34
24837.51,2687.54,6950.16
24719.22,2673.61,6903.39
24824.01,2695.81,7006.90
24922.68,2713.06,7065.53
25075.13,2723.99,7077.92
25295.87,2743.15,7136.56
25283.00,2747.71,7157.39
25385.80,2751.29,7163.58
25369.13,2748.23,7153.57
25574.73,2767.56,7211.78
25803.19,2786.24,7261.06
25792.86,2776.42,7223.69
26115.65,2802.56,7298.28
26017.81,2798.03,7296.05
26071.72,2810.30,7336.38
26214.60,2832.97,7408.03
26210.81,2839.13,7460.29
26252.12,2837.54,7415.06
26392.79,2839.25,7411.16
26616.71,2872.87,7505.77
26439.48,2853.53,7466.51
26076.89,2822.43,7402.48
26149.39,2823.81,7411.48
